COG_ID	COG_Category_ID	Annotation	Gene	Pathway
COG1078	R	HD superfamily phosphohydrolase	YdhJ	
COG1079	F	"ABC-type guanosine uptake system NupNOPQ, permease subunit NupQ"	NupQ	
COG1080	G	Phosphoenolpyruvate-protein kinase (PTS system EI component in bacteria)	PtsA	
COG1082	G	Sugar phosphate isomerase/epimerase	YcjR	
COG1083	M	"CMP-N-acetylneuraminic acid synthetase, NeuA/PseF family"	NeuA	
COG1084	R	"GTP-binding protein, GTP1/Obg family"	Nog1	
COG1085	G	Galactose-1-phosphate uridylyltransferase	GalT	
COG1086	MO	"NDP-sugar epimerase, includes UDP-GlcNAc-inverting 4,6-dehydratase FlaA1 and capsular polysaccharide biosynthesis protein EpsC"	FlaA1	
COG1087	M	UDP-glucose 4-epimerase	GalE	
COG1088	M	"dTDP-D-glucose 4,6-dehydratase"	RfbB	
COG1089	M	GDP-D-mannose dehydratase	Gmd	
COG1090	R	NAD dependent epimerase/dehydratase family enzyme	YfcH	
COG1091	M	dTDP-4-dehydrorhamnose reductase	RfbD	
COG1092	J	23S rRNA G2069 N7-methylase RlmK or C1962 C5-methylase RlmI	RlmK	23S rRNA modification
COG1093	J	"Translation initiation factor 2, alpha subunit (eIF-2alpha)"	SUI2	Translation factors
COG1094	J	"rRNA processing protein Krr1/Pno1, contains KH domain"	Krr1	
COG1095	K	"DNA-directed RNA polymerase, subunit E'/Rpb7"	RPB7	RNA polymerase
COG1096	U	"Exosome complex RNA-binding protein Csl4, contains S1 and Zn-ribbon domains"	Csl4	
COG1097	U	"Exosome complex RNA-binding protein Rrp4, contains S1 and KH domains"	Rrp4	
COG1098	R	"Predicted RNA-binding protein, contains ribosomal protein S1 (RPS1) domain"	YabR	
COG1099	R	"Predicted metal-dependent hydrolase, TIM-barrel fold"		
COG1100	R	GTPase SAR1 family domain	Gem1	
COG1101	R	"ABC-type uncharacterized transport system, ATPase component"	PhnK	
COG1102	F	Cytidylate kinase	CmkB	
COG1103	J	Archaeal Cys-tRNA synthase (O-phospho-L-seryl-tRNA:Cys-tRNA synthase)		
COG1104	E	"Cysteine desulfurase/Cysteine sulfinate desulfinase IscS or related enzyme, NifS family"	NifS	
COG1105	G	1-phosphofructokinase or 6-phosphofructokinase II	FruK	
COG1106	R	"ATPase/GTPase, AAA15 family"		
COG1107	L	"Archaea-specific RecJ-like exonuclease, contains DnaJ-type Zn finger domain"		
COG1108	P	"ABC-type Mn2+/Zn2+ transport system, permease component"	ZnuB	
COG1109	G	Phosphomannomutase	ManB	
COG1110	L	Reverse gyrase	TopG2	
COG1111	L	ERCC4-related helicase	MPH1	
COG1112	L	Superfamily I DNA and/or RNA helicase	DNA2	
COG1113	E	L-asparagine transporter or related permease	AnsP	
COG1114	E	Branched-chain amino acid permease	BrnQ	
COG1115	E	Na+/alanine symporter	AlsT	
COG1116	P	"ABC-type nitrate/sulfonate/bicarbonate transport system, ATPase component"	TauB	
COG1117	P	"ABC-type phosphate transport system, ATPase component"	PstB	
COG1118	P	"ABC-type sulfate/molybdate transport systems, ATPase component"	CysA	
COG1119	P	"ABC-type molybdenum transport system, ATPase component ModF/photorepair protein PhrA"	ModF	
COG1120	PH	"ABC-type cobalamin/Fe3+-siderophores transport system, ATPase component"	FepC	
COG1121	P	"ABC-type Mn2+/Zn2+ transport system, ATPase component"	ZnuC	
COG1122	PR	Energy-coupling factor transporter ATP-binding protein EcfA2	EcfA2	
COG1123	O	"ABC-type glutathione transport system ATPase component, contains duplicated ATPase domain"	GsiA	
COG1124	EP	"ABC-type dipeptide/oligopeptide/nickel transport system, ATPase component"	DppF	
COG1125	E	"ABC-type proline/glycine betaine transport system, ATPase component"	OpuBA	
COG1126	E	"ABC-type polar amino acid transport system, ATPase component"	GlnQ	
COG1127	M	ATPase subunit MlaF of the ABC-type intermembrane phospholipid transporter Mla	MlaF	
COG1129	G	"ABC-type sugar transport system, ATPase component"	MglA	
COG1131	V	"ABC-type multidrug transport system, ATPase component"	CcmA	
COG1132	V	"ABC-type multidrug transport system, ATPase and permease component"	MdlB	
COG1133	V	"Peptide antibiotic transporter SbmA/BacA, ABC-type permease family"	SbmA	
COG1134	G	"ABC-type polysaccharide/polyol phosphate transport system, ATPase component"	TagH	
COG1135	E	"ABC-type methionine transport system, ATPase component"	AbcC	
COG1136	M	"ABC-type lipoprotein export system, ATPase component"	LolD	
COG1137	M	"ABC-type lipopolysaccharide export system, ATPase component"	LptB	
COG1138	CO	Cytochrome c biogenesis protein CcmF	CcmF	
COG1139	C	"L-lactate utilization protein LutB, contains a ferredoxin-type domain"	LutB	
COG1140	CP	Nitrate reductase beta subunit	NarY	
COG1141	C	Ferredoxin	Fer	
COG1142	C	Fe-S-cluster-containing hydrogenase component 2	HycB	
COG1143	C	Formate hydrogenlyase subunit 6/NADH:ubiquinone oxidoreductase 23 kD subunit (chain I)	NuoI	NADH dehydrogenase
COG1144	C	"Pyruvate:ferredoxin oxidoreductase or related 2-oxoacid:ferredoxin oxidoreductase, delta subunit"	PorD	Pyruvate oxidation
COG1145	C	Ferredoxin	NapF	
COG1146	F	"NAD-dependent dihydropyrimidine dehydrogenase, PreA subunit"	PreA	
COG1148	C	"Heterodisulfide reductase, subunit A (polyferredoxin)"	HdrA	
COG1149	R	"MinD superfamily P-loop ATPase, contains an inserted ferredoxin domain"		
COG1150	C	"Heterodisulfide reductase, subunit C"	HdrC	
COG1151	C	Hydroxylamine reductase (hybrid-cluster protein)	Hcp	
COG1152	C	CO dehydrogenase/acetyl-CoA synthase alpha subunit	CdhA	
COG1153	C	Formylmethanofuran dehydrogenase subunit D	FwdD	
COG1154	HI	Deoxyxylulose-5-phosphate synthase	Dxs	Pyridoxal phosphate biosynthesis
COG1155	C	Archaeal/vacuolar-type H+-ATPase catalytic subunit A/Vma1	NtpA	A/V-type ATP synthase
COG1156	C	Archaeal/vacuolar-type H+-ATPase subunit B/Vma2	NtpB	A/V-type ATP synthase
COG1157	NU	Flagellar biosynthesis/type III secretory pathway ATPase FliI	FliI	
COG1158	K	Transcription termination factor Rho	Rho	
COG1159	J	"GTPase Era, involved in 16S rRNA processing"	Era	
COG1160	J	Double Era-like domain GTPase Der	Der	
COG1161	J	Ribosome biogenesis GTPase RbgA	RbgA	
COG1162	J	Ribosome biogenesis GTPase RsgA	RsgA	
COG1163	J	Ribosome-interacting GTPase RBG1	Rbg1	
COG1164	E	Oligoendopeptidase F	PepF	
COG1165	H	2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate synthase	MenD	Menaquinone biosynthesis
COG1166	E	Arginine decarboxylase (spermidine biosynthesis)	SpeA	
COG1167	KE	"DNA-binding transcriptional regulator, MocR family, contains an aminotransferase domain"	ARO8	Lysine biosynthesis
COG1168	ER	Bifunctional PLP-dependent enzyme with beta-cystathionase and maltose regulon repressor activities	MalY	
COG1169	HQ	Isochorismate synthase EntC	MenF	Menaquinone biosynthesis
COG1171	E	Threonine deaminase	IlvA	"Isoleucine, leucine, valine biosynthesis"
COG1172	G	"Ribose/xylose/arabinose/galactoside ABC-type transport system, permease component"	AraH	
COG1173	EP	"ABC-type dipeptide/oligopeptide/nickel transport system, permease component"	DppC	
COG1174	E	"ABC-type proline/glycine betaine transport system, permease component"	OpuBB	
COG1175	G	"ABC-type sugar transport system, permease component"	UgpA	
COG1176	E	"ABC-type spermidine/putrescine transport system, permease component I"	PotB	
COG1177	E	"ABC-type spermidine/putrescine transport system, permease component II"	PotC	
COG1178	P	"ABC-type Fe3+ transport system, permease component"	FbpB	
COG1179	J	tRNA A37 threonylcarbamoyladenosine dehydratase	TcdA	tRNA modification
COG1180	O	Pyruvate-formate lyase-activating enzyme	PflA	
COG1181	MR	D-alanine-D-alanine ligase or related ATP-grasp enzyme	DdlA	Mureine biosynthesis
COG1182	C	FMN-dependent NADH-azoreductase	AzoR	
COG1183	I	Phosphatidylserine synthase	PssA	
COG1184	J	"Translation initiation factor 2B subunit, eIF-2B alpha/beta/delta family"	GCD2	Translation factors
COG1185	J	Polyribonucleotide nucleotidyltransferase (polynucleotide phosphorylase)	Pnp	
COG1186	J	Protein chain release factor PrfB	PrfB	Translation factors
COG1187	J	"Pseudouridylate synthase RsuA, specific for 16S rRNA U516  and 23S rRNA U2605"	RsuA	16S rRNA modification
COG1188	J	"Ribosomal 50S subunit-recycling heat shock protein, contains S4 domain"	HslR	
COG1189	J	"Predicted rRNA methylase YqxC, contains S4 and FtsJ domains"	YqxC	
COG1190	J	Lysyl-tRNA synthetase (class II)	LysU	Aminoacyl-tRNA synthetases
COG1191	K	DNA-directed RNA polymerase specialized sigma subunit	FliA	RNA polymerase
COG1192	DN	ParA-like ATPase involved in chromosome/plasmid partitioning or cellulose biosynthesis protein BcsQ	ParA	
COG1193	L	dsDNA-specific endonuclease/ATPase MutS2	MutS2	
COG1194	L	"Adenine-specific DNA glycosylase, acts on AG and A-oxoG pairs"	MutY	
COG1195	L	Recombinational DNA repair ATPase RecF	RecF	
COG1196	D	Chromosome segregation ATPase Smc	Smc	
COG1197	LK	Transcription-repair coupling factor (superfamily II helicase)	Mfd	
COG1198	L	Primosomal protein N' (replication factor Y) - superfamily II helicase	PriA	
COG1199	L	Rad3-related DNA helicase DinG	DinG	
COG1200	L	RecG-like helicase	RecG	
COG1201	L	Lhr-like helicase	Lhr	
COG1202	L	"Superfamily II helicase, archaea-specific"		
COG1203	V	CRISPR-Cas type I system-associated endonuclease/helicase Cas3	Cas3	CRISPR-Cas system
COG1204	L	Replicative superfamily II helicase	BRR2	
COG1205	L	"ATP-dependent helicase YprA,  contains C-terminal metal-binding DUF1998 domain"	YprA	
COG1206	J	Folate-dependent tRNA-U54 methylase TrmFO/GidA	TrmFO	tRNA modification
COG1207	M	"Bifunctional protein GlmU, N-acetylglucosamine-1-phosphate-uridyltransferase/glucosamine-1-phosphate-acetyltransferase"	GlmU	
COG1208	JM	"NDP-sugar pyrophosphorylase, includes eIF-2Bgamma, eIF-2Bepsilon, and LPS biosynthesis protein s"	GCD1	
COG1209	M	dTDP-glucose pyrophosphorylase	RmlA1	
COG1210	M	UTP-glucose-1-phosphate uridylyltransferase	GalU	
COG1211	I	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase	IspD	Isoprenoid biosynthesis
COG1212	M	CMP-2-keto-3-deoxyoctulosonic acid synthetase	KdsB	Lipid A biosynthesis
COG1213	I	Choline kinase		
COG1214	J	tRNA A37 threonylcarbamoyladenosine modification protein TsaB	TsaB	tRNA modification
COG1215	N	"Glycosyltransferase, catalytic subunit of cellulose synthase and poly-beta-1,6-N-acetylglucosamine synthase"	BcsA	
COG1216	G	"Glycosyltransferase, GT2 family"	WcaE	
COG1217	T	Predicted membrane GTPase TypA/BipA involved in stress response	TypA	
COG1218	P	3'-Phosphoadenosine 5'-phosphosulfate (PAPS) 3'-phosphatase	CysQ	
COG1219	O	"ATP-dependent protease Clp, ATPase subunit ClpX"	ClpX	
COG1220	O	"ATP-dependent protease HslVU (ClpYQ), ATPase subunit HslU"	HslU	
COG1221	KT	Transcriptional regulators containing an AAA-type ATPase domain and a DNA-binding domain	PspF	
COG1222	O	ATP-dependent 26S proteasome regulatory subunit	RPT1	
COG1223	R	"Predicted ATPase, AAA+ superfamily"		
COG1224	K	"DNA helicase TIP49, TBP-interacting protein"	TIP49	
COG1225	O	Peroxiredoxin	Bcp	
COG1226	P	Voltage-gated potassium channel Kch	Kch	
COG1227	C	Inorganic pyrophosphatase/exopolyphosphatase	PPX1	
COG1228	Q	Imidazolonepropionase or related amidohydrolase	HutI	
COG1229	C	Formylmethanofuran dehydrogenase subunit A	FwdA	
COG1230	P	Co/Zn/Cd efflux system component	CzcD	
COG1231	E	Monoamine oxidase	YobN	
COG1232	H	Protoporphyrinogen oxidase HemY/PPOX	HemY	Heme biosynthesis
COG1233	Q	Phytoene dehydrogenase-related protein		
COG1234	J	"Ribonuclease BN, tRNA processing enzyme"	ElaC	
COG1235	P	"Phosphoribosyl 1,2-cyclic phosphate phosphodiesterase"	PhnP	
COG1236	J	"RNA processing exonuclease, beta-lactamase fold, Cft2 family"	YSH1	
COG1237	R	"Metal-dependent hydrolase, beta-lactamase superfamily II"		
COG1238	S	"Uncharacterized membrane protein YqaA, VTT domain"	YgaA	
COG1239	H	Mg-chelatase subunit ChlI	ChlI	
COG1240	H	vWFA (von Willebrand factor type A) domain of Mg and Co chelatases	ChlD	
COG1241	L	"DNA replicative helicase MCM subunit Mcm2, Cdc46/Mcm family"	Mcm2	
COG1242	R	Radical SAM superfamily enzyme	YhcC	
COG1243	J	"tRNA U34 5-carboxymethylaminomethylation enzyme Elp3 (RNA elongator complex protein 3), contains radical SAM and acetyltransferase domains"	ELP3	
COG1244	J	"Archaeosine formation enzyme, radical SAM superfamily"	RaSEA	
COG1245	J	"Translation initiation factor RLI1, contains Fe-S and AAA+ ATPase domains"	Rli1	
COG1246	E	"N-acetylglutamate synthase or related acetyltransferase, GNAT family"	ArgA	Arginine biosynthesis
COG1247	E	L-amino acid N-acyltransferase MnaT	MnaT	
COG1249	C	Dihydrolipoamide dehydrogenase (E3) component of pyruvate/2-oxoglutarate dehydrogenase complex or glutathione oxidoreductase	Lpd	Glycine cleavagePyruvate oxidation
COG1250	I	3-hydroxyacyl-CoA dehydrogenase	FadB	Fatty acid biosynthesis
COG1251	C	"NAD(P)H-nitrite reductase, large subunit"	NirB	
COG1252	C	"NADH dehydrogenase, FAD-containing subunit"	Ndh	
COG1253	R	"Hemolysin-related protein, contains CBS domains, UPF0053 family"	TlyC	
COG1254	C	Acylphosphatase	AcyP	
COG1255	R	"Predicted small methyltransferase MTH1000, UPF0146 family"	MTH1000	
COG1256	N	Flagellar hook-associated protein FlgK	FlgK	
COG1257	I	Hydroxymethylglutaryl-CoA reductase	HMG1	Isoprenoid biosynthesis
COG1258	J	tRNA U54 and U55 pseudouridine synthase Pus10	Pus10	tRNA modification
COG1259	R	Bifunctional DNase/RNase		
COG1260	I	Myo-inositol-1-phosphate synthase	INO1	
COG1261	N	Flagellar basal body P-ring formation protein FlgA	FlgA	
COG1262	O	"Formylglycine-generating enzyme, required for sulfatase activity, contains SUMF1/FGE domain"	YfmG	
COG1263	G	"Phosphotransferase system IIC components, glucose/maltose/N-acetylglucosamine-specific"	PtsG1	
COG1264	G	Phosphotransferase system IIB components	PtsG2	
COG1266	O	"Membrane protease YdiL, CAAX protease family"	YdiL	
COG1267	I	Phosphatidylglycerophosphatase A	PgpA	Phospholipid biosynthesis
COG1268	H	Biotin transporter BioY	BioY	
COG1269	C	Archaeal/vacuolar-type H+-ATPase subunit I/STV1	NtpI	A/V-type ATP synthase
COG1270	H	Cobalamin biosynthesis protein CobD/CbiB	CbiB	Cobalamine/B12 biosynthesis
COG1271	C	"Cytochrome bd-type quinol oxidase, subunit 1"	AppC	
COG1272	U	"Predicted membrane channel-forming protein YqfA, hemolysin III family"	YqfA	
COG1273	L	"Non-homologous end joining protein Ku, dsDNA break repair"	YkoV	
COG1274	C	"Phosphoenolpyruvate carboxykinase, GTP-dependent"	PepCK	Gluconeogenesis
COG1275	V	Tellurite resistance protein TehA and related permeases	TehA	
COG1276	P	Putative copper export protein	PcoD	
COG1277	O	"ABC-type transport system involved in multi-copper enzyme maturation, permease component"	NosY	
COG1278	K	"Cold shock protein, CspA family"	CspC	
COG1279	E	Arginine exporter protein ArgO	ArgO	
COG1280	E	Threonine/homoserine/homoserine lactone efflux protein	RhtB	
COG1281	O	"Redox-regulated molecular chaperone, HSP33 family"	HslO	
COG1282	C	NAD/NADP transhydrogenase beta subunit	PntB	
COG1283	P	Na+/phosphate symporter	NptA	
COG1284	S	"Uncharacterized membrane-anchored protein YitT, contains DUF161 and DUF2179 domains"	YitT	
COG1285	P	"Magnesium uptake protein YhiD/SapB, involved in acid resistance"	SapB	
COG1286	FM	"Colicin V production accessory protein CvpA, regulator of purF expression and biofilm formation"	CvpA	
COG1287	O	"Asparagine N-glycosylation enzyme, membrane subunit Stt3"	Stt3	
COG1288	R	"Predicted membrane transporter YfcC, affects glyoxylate shunt"	YfcC	
COG1289	S	Uncharacterized membrane protein YccC	YccC	
COG1290	C	Cytochrome b subunit of the bc complex	QcrB/PetB	
COG1291	N	Flagellar motor component MotA	MotA	
COG1292	M	Choline-glycine betaine transporter	BetT	
COG1293	JO	"Ribosome quality control (RQC) protein RqcH, Rqc2/NEMF/Tae2 family, contains fibronectin-(FbpA) and RNA- (NFACT) binding domains"	RqcH	
COG1294	C	"Cytochrome bd-type quinol oxidase, subunit 2"	AppB	
COG1295	S	"Uncharacterized membrane protein, BrkB/YihY/UPF0761 family (not an RNase)"	BrkB	
COG1296	E	Predicted branched-chain amino acid permease (azaleucine resistance)	AzlC	
COG1297	R	"Predicted oligopeptide transporter, OPT family"	OPT	
COG1298	N	Flagellar biosynthesis protein FlhA	FlhA	
COG1299	G	"Phosphotransferase system, fructose-specific IIC component"	FrwC	
COG1300	D	"Stage II sporulation protein SpoIIM, component of the engulfment complex"	SpoIIM	
COG1301	C	Na+/H+-dicarboxylate symporter	GltP	
COG1302	S	"Uncharacterized conserved protein YloU, alkaline shock protein (Asp23) family"	YloU	
COG1303	J	"tRNA C56-2-O'-methylase, SpoU family"	TRM56	
COG1304	CIR	"FMN-dependent dehydrogenase, includes L-lactate dehydrogenase and type II isopentenyl diphosphate isomerase"	LldD	Isoprenoid biosynthesis
COG1305	O	"Transglutaminase-like enzyme, putative cysteine protease"	YebA	
COG1306	R	"Predicted glycosyl hydrolase, alpha amylase family"		
COG1307	I	Fatty acid-binding protein DegV (function unknown)	DegV	
COG1308	K	Transcription factor homologous to NACalpha-BTF3	EGD2	
COG1309	K	"DNA-binding protein, AcrR family, includes nucleoid occlusion protein SlmA"	AcrR	
COG1310	O	"Proteasome lid subunit RPN8/RPN11, contains Jab1/MPN domain metalloenzyme (JAMM) motif"	Rri1	
COG1311	L	"Archaeal DNA polymerase II, small subunit/DNA polymerase delta, subunit B"	HYS2	
COG1312	G	D-mannonate dehydratase	UxuA	
COG1313	R	Radical SAM superfamily enzyme PflX	PflX	
COG1314	U	Protein translocase subunit SecG	SecG	
COG1315	N	"Flagellar assembly protein FapA, interacts with EIIAGlc"	FapA	
COG1316	M	"Anionic cell wall polymer biosynthesis enzyme TagV/TagU,  LytR-Cps2A-Psr (LCP) family (peptidoglycan teichoic acid transferase)"	Cps2a	
COG1317	NU	Flagellar biosynthesis/type III secretory pathway protein FliH	FliH	
COG1318	K	Predicted transcriptional regulator		
COG1319	C	"Aldehyde, CO, or xanthine dehydrogenase, FAD-binding subunit"	CutB	Non-phosphorylated Entner-Doudoroff pathway
COG1320	P	"Multisubunit Na+/H+ antiporter, MnhG subunit"	MnhG	
COG1321	K	"Mn-dependent transcriptional regulator MntR, DtxR family"	MntR	
COG1322	L	DNA anti-recombination protein (rearrangement mutator) RmuC	RmuC	
COG1323	J	tRNA-Met C34-N4-acetylcytidine synthase TmcAL	TmcAL	tRNA modification
COG1324	P	Divalent cation tolerance protein CutA	CutA1	
COG1325	U	"Exosome subunit, RNA binding protein with dsRBD fold"		
COG1326	R	Uncharacterized archaeal Zn-finger protein		
COG1327	K	"Transcriptional regulator NrdR, contains Zn-ribbon and ATP-cone domains"	NrdR	
COG1328	F	Anaerobic ribonucleoside-triphosphate reductase	NrdD	Thymidylate biosynthesis
COG1329	K	"RNA polymerase-interacting regulator, CarD/CdnL/TRCF family"	CdnL	
COG1330	L	Scaffold subunit RecC of the DNA repair enzyme RecBCD (exonuclease V)	RecC	
COG1331	R	"Uncharacterized conserved protein YyaL, SSP411 family, contains thoiredoxin and six-hairpin glycosidase-like domains"	YyaL	
COG1332	V	"CRISPR-Cas system type III CSM-effector complex subunit Csm5, RAMP superfamily Cas7 group"	Csm5	CRISPR-Cas system
COG1333	CO	Cytochrome c biogenesis protein ResB	ResB	
COG1334	R	"Uncharacterized conserved protein, FlaG/YvyC family"	FlaG	
COG1335	HR	Nicotinamidase-related amidase	PncA	Pyrimidine degradation
COG1336	V	"CRISPR-Cas system type III CMR-effector complex subunit Cmr4, RAMP superfamily Cas7 group"	Cmr4	CRISPR-Cas system
COG1337	V	"CRISPR-Cas system type III CSM-effector complex subunit Csm3, RAMP superfamily Cas7 group"	Csm3	CRISPR-Cas system
COG1338	N	Flagellar biosynthesis protein FliP	FliP	
COG1339	H	Archaeal CTP-dependent riboflavin kinase	Rfk	Riboflavin/FAD biosynthesis
COG1340	S	"Uncharacterized coiled-coil protein, contains DUF342 domain"		
COG1341	J	"Polynucleotide 5'-kinase, involved in rRNA processing"	Grc3	
COG1342	R	"Predicted DNA-binding protein, UPF0251 family"		
COG1343	V	CRISPR/Cas system-associated endoribonuclease Cas2	Cas2	CRISPR-Cas system
COG1344	N	Flagellin and related hook-associated protein FlgL	FlgL	
COG1345	N	Flagellar capping protein FliD	FliD	
COG1346	M	Putative effector of murein hydrolase	LrgB	
COG1347	C	"Na+-transporting NADH:ubiquinone oxidoreductase, subunit NqrD"	NqrD	Na+-translocating NADH dehydrogenase
COG1348	HP	Nitrogenase ATPase subunit NifH/coenzyme F430 biosynthesis subunit CfbC	NifH/CfbC	
COG1349	KG	"DNA-binding transcriptional regulator of sugar metabolism, DeoR/GlpR family"	GlpR	
COG1350	E	Predicted alternative tryptophan synthase beta-subunit (paralog of TrpB)		Aromatic amino acid biosynthesis
COG1351	F	"Thymidylate synthase ThyX, FAD-dependent family"	ThyX	Thymidylate biosynthesis
COG1352	T	Methylase of chemotaxis methyl-accepting proteins	CheR	
COG1353	V	"CRISPR/Cas system-associated protein Cas10, large subunit of type III CRISPR-Cas systems, contains HD superfamily nuclease domain"	Cas10	CRISPR-Cas system
COG1354	L	"Chromatin segregation and condensation protein Rec8/ScpA/Scc1, kleisin family"	ScpA	
COG1355	R	"Predicted class III extradiol dioxygenase, MEMO1 family"	Mho1	
COG1356	K	Transcriptional regulator		
COG1357	S	"Uncharacterized conserved protein YjbI, contains pentapeptide repeats"	YjbI	
COG1358	J	Ribosomal protein L7Ae or related RNA K-turn-binding protein	Rpl7Ae	Ribosome 50S subunit
COG1359	C	Quinol monooxygenase YgiN	YgiN	
COG1360	N	Flagellar motor protein MotB	MotB	
COG1361	R	"S-layer protein MJ0795, predicted component of type IV pili-like system"	MJ0795	
COG1362	E	Aspartyl aminopeptidase	LAP4	
COG1363	EG	Putative aminopeptidase FrvX	FrvX	
COG1364	E	Glutamate N-acetyltransferase (ornithine transacetylase)	ArgJ	Arginine biosynthesis
COG1365	R	"Predicted ATPase, PP-loop superfamily"		
COG1366	T	Anti-anti-sigma regulatory factor (antagonist of anti-sigma factor)	SpoIIAA	
COG1367	V	"CRISPR-Cas system type III CMR-effector complex subunit Cmr1, RAMP superfamily Cas7 group"	Cmr1	CRISPR-Cas system
COG1368	M	"Phosphoglycerol transferase MdoB/OpgB, AlkP superfamily"	MdoB	
COG1369	J	RNase P/RNase MRP subunit POP5	POP5	
COG1370	J	"tRNA-guanine transglycosylase, archaeosine-15-forming, contains TGT and PUA domains"	ArcTGT	
COG1371	J	"Archease, activates RNA ligation by RtcB (tRNA splicing)"	ARCH	
COG1372	LX	Intein/homing endonuclease	Hop	
COG1373	R	"Predicted ATPase, AAA+ superfamily"		
COG1374	J	"Rbosome biogenesis protein Nip4, contains PUA domain"	NIP7	
COG1376	M	Lipoprotein-anchoring transpeptidase ErfK/SrfK	ErfK	
COG1377	N	Flagellar biosynthesis protein FlhB	FlhB	
COG1378	K	Sugar-specific transcriptional regulator TrmB	YrhO	
COG1379	R	PHP family phosphoesterase with a Zn ribbon	YqxK	
COG1380	R	"Putative effector of murein hydrolase LrgA, UPF0299 family"	YohJ	
COG1381	L	Recombinational DNA repair protein RecO (RecF pathway)	RecO	
COG1382	O	"Prefoldin, chaperonin cofactor"	GimC	
COG1383	J	Ribosomal protein S17E	RPS17A	Archaeal ribosomal proteins
COG1384	J	"Lysyl-tRNA synthetase, class I"	LysS	Aminoacyl-tRNA synthetases
COG1385	J	16S rRNA U1498 N3-methylase RsmE	RsmE	16S rRNA modification
COG1386	K	Chromosome segregation and condensation protein ScpB	ScpB	
COG1387	ER	Histidinol phosphatase or related hydrolase of the PHP family	HIS2	Histidine biosynthesis
COG1388	M	LysM repeat	LysM	
COG1389	L	"DNA topoisomerase VI, subunit B"		
COG1390	C	Archaeal/vacuolar-type H+-ATPase subunit E/Vma4	NtpE	A/V-type ATP synthase
COG1391	O	Glutamine synthetase adenylyltransferase	GlnE1	
COG1392	P	"Phosphate transport regulator YkaA, distantly related to PhoU, UPF0111/DUF47 family"	YkaA	
COG1393	P	"Arsenate reductase or related protein, glutaredoxin family"	ArsC	
COG1394	C	Archaeal/vacuolar-type H+-ATPase subunit D/Vma8	NtpD	A/V-type ATP synthase
COG1395	K	Predicted transcriptional regulator		
COG1396	K	"Transcriptional regulator, contains XRE-family HTH domain"	HipB	
COG1397	O	ADP-ribosylglycohydrolase	DraG	
COG1398	I	Fatty-acid desaturase	OLE1	
COG1399	J	"23S rRNA accumulation protein YceD (essential in plants, uncharacterized in bacteria)"	YceD	
COG1400	U	Signal recognition particle subunit SEC65	SEC65	
COG1401	V	"5-methylcytosine-specific restriction endonuclease McrBC, GTP-binding regulatory subunit McrB"	McrB	
COG1402	H	Creatinine amidohydrolase/Fe(II)-dependent FAPy formamide hydrolase (riboflavin and F420 biosynthesis)	ArfB	Riboflavin/FAD biosynthesis
COG1403	V	5-methylcytosine-specific restriction endonuclease McrA	McrA	
COG1404	O	"Serine protease, subtilisin family"	AprE	
COG1405	K	"Transcription initiation factor TFIIIB, Brf1 subunit/Transcription initiation factor TFIIB"	SUA7	
COG1406	N	"Chemotaxis protein CheX, a CheY~P-specific phosphatase"	CheX	
COG1407	R	Metallophosphoesterase superfamily enzyme		
COG1408	R	"Predicted phosphohydrolase, MPP superfamily"	YaeI	
COG1409	T	"3',5'-cyclic AMP phosphodiesterase CpdA"	CpdA	
COG1410	E	"Methionine synthase I, cobalamin-binding domain"	MetH2	Methionine biosynthesis
COG1411	R	Uncharacterized conserved protein related to proFAR isomerase (HisA)		
COG1412	J	rRNA-processing protein FCF1	Fcf1	
COG1413	R	HEAT repeat	HEAT	
COG1414	K	"DNA-binding transcriptional regulator, IclR family"	IclR	
COG1415	S	"Uncharacterized conserved protein, DUF763 domain"		
COG1416	P	"Intracellular sulfur oxidation protein, DsrE/DsrF family"		
COG1417	S	"Uncharacterized conserved protein, DUF22 domain"		
COG1418	JR	"HD superfamily phosphodieaserase, includes HD domain of RNase Y"	RnaY	
COG1419	N	Flagellar biosynthesis GTPase FlhF	FlhF	
COG1420	K	Transcriptional regulator of heat shock response	HrcA	
COG1421	V	CRISPR-Cas system type III CSM-effector complex small subunit Csm2	Csm2	CRISPR-Cas system
COG1422	M	"Archaeal YidC/Oxa1-related membrane protein, DUF106 family"	YidC	
COG1423	L	"ATP-dependent RNA circularization protein, DNA/RNA ligase (PAB1020)  family"		
COG1424	H	Pimeloyl-CoA synthetase	BioW	Biotin biosynthesis
COG1426	D	"Cytoskeletal protein RodZ, contains Xre-like HTH and DUF4115 domains"	RodZ	
COG1427	H	"Chorismate dehydratase (menaquinone biosynthesis, futalosine pathway)"	MqnA	Menaquinone biosynthesis
COG1428	F	Deoxyadenosine/deoxycytidine kinase	Dck	
COG1429	H	"Cobalamin biosynthesis protein CobN, Mg-chelatase"	CobN	Cobalamine/B12 biosynthesis
COG1430	S	"Uncharacterized conserved membrane protein, UPF0127 family"		
COG1431	JV	"PIWI domain, catalyzes dsRNA-guided hydrolysis of ssRNA, involved in RNA silencing, RNA metabolism and antiviral defense"	PIWI	
COG1432	R	"NYN domain, predicted PIN-related RNAse, tRNA/rRNA maturation"	LabA	
